,Date,Open,High,Low,Close,Trading volume,Trading value,No. of listed,Market Cap.
882,22 Nov 2019,479.72,479.72,469.82,479.72,"10,020","48,566,850",5,"656,885"
883,20 Nov 2019,468.40,477.39,468.40,469.82,"6,450","73,096,200",5,"643,329"
884,19 Nov 2019,477.07,479.72,477.07,479.72,"11,954","82,503,500",5,"656,885"
885,18 Nov 2019,479.48,479.48,477.54,477.54,"12,541","96,008,900",5,"653,899"
886,15 Nov 2019,478.96,480.38,469.58,469.58,"6,156","42,970,600",5,"643,000"
887,14 Nov 2019,469.06,470.48,469.06,470.48,"10,249","79,397,500",5,"644,236"
888,13 Nov 2019,460.58,470.48,460.58,460.58,"10,168","60,716,800",5,"630,679"
889,8 Nov 2019,460.30,469.72,460.30,461.24,"3,777","38,201,300",5,"631,585"
890,7 Nov 2019,471.14,471.14,461.24,462.00,"5,177","45,373,750",5,"632,625"
891,6 Nov 2019,469.72,470.67,460.77,470.67,"4,432","21,186,000",5,"644,501"
892,5 Nov 2019,471.90,471.90,471.14,471.14,"5,826","45,785,000",5,"645,142"
893,4 Nov 2019,471.38,471.90,470.48,471.90,"12,686","78,105,600",5,"646,182"
894,1 Nov 2019,472.34,482.24,470.91,470.91,"10,337","62,943,900",5,"644,831"
895,31 Oct 2019,474.32,484.22,474.32,482.56,"7,276","38,967,300",5,"660,778"
896,30 Oct 2019,475.74,475.74,474.32,474.32,"7,294","47,545,150",5,"649,498"
897,29 Oct 2019,484.27,484.27,474.32,475.74,"2,667","20,646,300",5,"651,445"
898,25 Oct 2019,475.28,482.85,472.95,482.85,"10,205","48,067,700",5,"661,177"
899,24 Oct 2019,472.90,484.22,472.90,483.75,"14,776","82,838,950",5,"662,413"
900,23 Oct 2019,472.14,472.14,471.24,471.72,"12,223","54,821,500",5,"645,939"
901,22 Oct 2019,472.80,482.99,472.80,473.56,"15,592","81,986,100",5,"648,458"
902,21 Oct 2019,472.48,483.29,472.48,482.70,"12,003","110,066,900",5,"660,974"
903,18 Oct 2019,475.23,484.19,475.23,484.19,"6,600","31,731,200",5,"663,007"
904,17 Oct 2019,486.55,486.55,475.23,476.65,"13,818","78,038,600",5,"652,681"
905,16 Oct 2019,476.89,489.63,476.89,487.73,"13,109","75,682,400",5,"667,854"
906,10 Oct 2019,456.59,473.09,456.59,473.09,"8,238","76,758,250",5,"647,817"
907,9 Oct 2019,461.77,464.18,461.77,462.76,"24,551","109,400,550",5,"633,666"
908,8 Oct 2019,466.07,474.08,462.24,462.24,"32,189","144,415,600",5,"632,956"
909,7 Oct 2019,470.11,478.59,466.36,466.36,"30,444","132,531,300",5,"638,599"
910,4 Oct 2019,472.00,472.00,470.11,470.11,"23,010","111,909,700",5,"643,728"
911,3 Oct 2019,484.88,484.88,472.90,472.90,"17,389","75,128,550",5,"647,552"
912,2 Oct 2019,475.89,477.83,474.98,474.98,"7,861","47,561,800",5,"650,405"
913,30 Sep 2019,486.41,494.37,481.58,491.48,"12,504","99,448,700",5,"672,994"
914,27 Sep 2019,497.21,497.21,483.10,483.10,"55,293","244,763,100",5,"661,518"
915,26 Sep 2019,500.06,500.06,499.15,499.59,"23,842","148,061,300",5,"684,095"
916,25 Sep 2019,498.54,500.82,490.45,500.82,"11,103","89,365,500",5,"685,776"
917,24 Sep 2019,501.38,502.90,489.07,502.48,"12,878","74,698,650",5,"688,052"
918,23 Sep 2019,502.90,503.37,495.84,503.37,"35,968","222,389,150",5,"689,270"
919,20 Sep 2019,505.31,505.31,491.95,504.84,"7,279","67,598,800",5,"691,286"
920,19 Sep 2019,500.80,505.31,500.80,505.31,"10,894","69,704,200",5,"691,927"
921,18 Sep 2019,492.86,502.76,492.86,501.85,"18,281","94,190,700",5,"687,197"
922,17 Sep 2019,492.95,502.85,492.95,500.48,"8,817","55,513,350",5,"685,313"
923,16 Sep 2019,494.65,503.65,491.62,491.62,"13,821","103,759,650",5,"673,178"
924,13 Sep 2019,500.34,501.71,489.97,501.71,"39,006","179,945,200",5,"686,994"
925,12 Sep 2019,490.29,500.34,490.29,500.34,"30,994","153,291,450",5,"685,117"
926,11 Sep 2019,503.94,503.94,494.04,501.09,"7,636","56,544,450",5,"686,157"
927,10 Sep 2019,493.14,503.94,492.67,503.94,"24,560","176,618,350",5,"690,050"
928,9 Sep 2019,498.82,502.13,493.14,493.14,"18,255","91,668,150",5,"675,258"
929,6 Sep 2019,486.98,498.82,486.98,496.91,"28,247","146,018,000",5,"680,433"
930,5 Sep 2019,484.61,494.51,484.61,487.45,"27,282","137,804,250",5,"667,472"
931,4 Sep 2019,493.60,494.51,493.60,494.51,"9,370","64,744,800",5,"677,135"
932,3 Sep 2019,494.51,494.51,491.66,491.66,"10,689","73,092,150",5,"673,243"
933,2 Sep 2019,493.47,496.31,492.57,495.41,"14,639","128,893,300",5,"678,371"
934,30 Aug 2019,482.67,493.47,482.67,493.47,"15,982","86,593,950",5,"675,715"
935,29 Aug 2019,481.91,492.57,481.91,492.57,"18,686","107,372,250",5,"674,479"
936,28 Aug 2019,490.90,490.90,478.16,490.90,"9,959","46,768,850",5,"672,203"
937,27 Aug 2019,478.92,491.37,478.92,491.37,"8,549","68,479,300",5,"672,844"
938,26 Aug 2019,478.92,492.10,478.45,478.45,"4,282","30,062,850",5,"655,153"
939,23 Aug 2019,491.66,492.13,481.30,492.13,"9,606","41,960,100",5,"673,884"
940,22 Aug 2019,486.41,491.66,479.35,491.66,"14,525","120,476,800",5,"673,243"
941,21 Aug 2019,493.47,493.47,487.78,487.78,"19,154","80,231,350",5,"667,929"
942,20 Aug 2019,493.14,493.47,493.14,493.47,"22,858","110,239,350",5,"675,715"
943,19 Aug 2019,489.69,497.72,485.94,494.55,"9,596","70,450,600",5,"677,193"
944,16 Aug 2019,496.31,502.90,489.67,489.67,"44,539","242,102,100",5,"670,516"
945,15 Aug 2019,474.52,494.37,474.52,494.37,"40,983","235,723,900",5,"676,951"
946,14 Aug 2019,468.89,482.10,468.89,471.68,"17,131","117,554,950",5,"645,876"
947,13 Aug 2019,465.11,477.83,464.09,477.83,"18,216","146,954,600",5,"654,303"
948,9 Aug 2019,452.73,463.59,452.73,463.59,"12,835","64,642,950",5,"634,797"
949,8 Aug 2019,448.13,459.69,448.13,459.69,"7,824","53,709,200",5,"629,466"
950,7 Aug 2019,451.07,458.79,451.07,458.03,"9,841","76,189,350",5,"627,190"
951,6 Aug 2019,449.27,460.07,449.27,459.55,"6,883","46,983,150",5,"629,270"
952,5 Aug 2019,456.99,458.41,448.51,448.51,"11,288","66,993,400",5,"614,148"
953,2 Aug 2019,447.09,456.99,447.09,456.99,"6,617","54,644,100",5,"625,758"
954,1 Aug 2019,448.42,448.89,448.42,448.89,"12,822","79,247,650",5,"612,842"
955,31 Jul 2019,446.57,446.57,446.57,446.57,"6,419","34,895,350",5,"609,675"
956,30 Jul 2019,448.09,448.09,446.57,446.57,"11,125","68,924,000",5,"609,675"
957,29 Jul 2019,447.19,448.09,447.19,448.09,"18,421","77,717,500",5,"611,755"
958,26 Jul 2019,448.09,448.09,447.19,447.19,"3,427","15,524,200",5,"610,519"
959,25 Jul 2019,445.67,448.09,445.67,448.09,"10,538","67,290,500",5,"611,755"
960,24 Jul 2019,454.17,455.60,445.67,445.67,"5,166","23,250,950",5,"608,439"
961,23 Jul 2019,456.04,456.04,454.17,454.17,"7,273","31,573,300",5,"620,049"
962,22 Jul 2019,454.17,464.10,454.17,455.52,"19,628","83,628,250",5,"621,896"
963,18 Jul 2019,453.71,456.98,453.26,453.26,"25,394","127,262,100",5,"618,813"
964,17 Jul 2019,451.39,452.30,451.39,451.39,"18,123","74,925,750",5,"616,257"
965,15 Jul 2019,443.62,456.40,443.62,449.97,"18,474","102,074,950",5,"614,310"
966,12 Jul 2019,437.77,439.57,431.90,439.57,"11,807","53,184,750",5,"600,114"
967,11 Jul 2019,423.86,439.19,422.43,439.19,"6,871","37,206,000",5,"599,602"
968,10 Jul 2019,425.28,435.21,425.28,435.21,"17,479","70,258,100",5,"594,169"
969,9 Jul 2019,432.41,441.45,432.41,432.41,"25,671","115,978,550",5,"590,346"
970,8 Jul 2019,441.45,441.45,431.52,431.52,"5,816","35,959,750",5,"589,125"
971,5 Jul 2019,440.69,443.71,431.90,431.90,"7,441","32,723,150",5,"589,650"
972,4 Jul 2019,441.89,441.89,440.69,440.69,"7,549","32,550,850",5,"601,641"
973,3 Jul 2019,442.35,442.87,441.89,442.87,"8,211","29,321,050",5,"604,627"
974,2 Jul 2019,441.37,442.35,431.00,442.35,"8,308","33,549,400",5,"603,917"
975,1 Jul 2019,454.91,454.91,442.13,443.25,"13,100","79,081,600",5,"605,138"
976,28 Jun 2019,466.19,466.19,456.26,456.26,"10,419","46,651,600",5,"622,902"
